id,structure_order,q1,q2,q3,q4,q5,q6,q7,PHt,Hs_obs,Hs_exp,IR,HL,pop,sex,length,date,oto_age,natal_region,stocked,lat,long,sibling_group
GOP687,442,0.9772,0.001,0.0032,0.0027,0.0022,0.0022,0.0117,0.229833102,0.995510651,1.025762357,-0.026350762,0.647264539,MACINTYRE,NA,420,NA,8,NA,,-28.70031645,150.5305017,NA
GOP688,443,0.404,0.0062,0.001,0.5057,0.0127,0.0043,0.0661,0.227839335,0.984119343,1.013022683,0.009212786,0.660251305,MACINTYRE,NA,428,NA,12,NA,,-28.70031645,150.5305017,NA
GOP690,445,0.8264,0.0027,0.0025,0.054,0.0053,0.0055,0.1036,0.237616903,1.025774687,1.0566387,-0.048377102,0.629211975,MACINTYRE,NA,405,NA,11,NA,,-28.70031645,150.5305017,NA
GOP691,446,0.9386,0.0012,0.002,0.0042,0.001,0.002,0.051,0.302259887,1.319591365,1.360029252,-0.341202741,0.502982143,MACINTYRE,NA,395,NA,8,NA,,-28.70031645,150.5305017,NA
GOP692,447,0.9623,0.001,0.0018,0.0012,0.0015,0.0048,0.0273,0.220420835,0.950936184,0.979577358,0.014534287,0.661230721,MACINTYRE,NA,405,NA,6,NA,,-28.70031645,150.5305017,NA
GOP693,448,0.881,0.0015,0.002,0.0922,0.0027,0.0058,0.0148,0.31070032,1.353362454,1.394814305,-0.356940296,0.501328628,MACINTYRE,NA,440,NA,10,NA,,-28.70031645,150.5305017,NA
GOP694,449,0.6927,0.001,0.001,0.0063,0.001,0.003,0.295,0.235766678,1.022677331,1.054124616,-0.052799883,0.630221918,MACINTYRE,NA,439,NA,8,NA,,-28.70031645,150.5305017,NA
GOP695,450,0.991,0.001,0.001,0.0023,0.001,0.0023,0.0013,0.230024213,0.991690994,1.021062174,-0.023041522,0.63827258,MACINTYRE,NA,433,NA,8,NA,,-28.70031645,150.5305017,NA
GOP696,451,0.9832,0.002,0.0008,0.0032,0.0028,0.0025,0.0055,0.226297578,0.975968265,1.005467326,-0.016678619,0.641062116,MACINTYRE,NA,443,NA,8,NA,,-28.70031645,150.5305017,NA
GOP431,191,0.9378,0.0037,0.0372,0.0022,0.0055,0.0013,0.0123,0.224060669,0.966570608,0.995488548,-0.007540329,0.653140792,MACQUARIE,NA,163,7/6/2018,1,border,NO,-31.65562,147.80093,NA
